dataset,episode,start,action_shift-2,state_shift-2,action_shift-1,state_shift-1,action_shift+0,state_shift+0,action_shift+1,state_shift+1,action_shift+2,state_shift+2
aractingi/push_cube_offline_data,8,22,0.5969709753990173,0.6032008528709412,0.6076370477676392,0.6106229424476624,0.6188542246818542,0.6193094849586487,0.6298432946205139,0.6283316016197205,0.6403287053108215,0.6363433003425598
aractingi/push_cube_offline_data,16,27,0.5575411915779114,0.5411364436149597,0.5555844902992249,0.5384194254875183,0.5527113080024719,0.5355790257453918,0.5510076880455017,0.533508837223053,0.5509940385818481,0.5321570038795471
aractingi/push_cube_offline_data,14,10,0.6048704981803894,0.6080028414726257,0.6109877824783325,0.6156595349311829,0.6153828501701355,0.6217060685157776,0.6186838150024414,0.62669837474823,0.6223865151405334,0.6306973099708557
aractingi/push_cube_offline_data,9,64,0.5515448451042175,0.5492700934410095,0.5526067614555359,0.5544124245643616,0.5531401038169861,0.5562066435813904,0.5539537668228149,0.5583322644233704,0.5576858520507812,0.5613669157028198
aractingi/push_cube_offline_data,2,8,0.9496508240699768,0.9329443573951721,0.956484317779541,0.9406984448432922,0.958304226398468,0.9462152123451233,0.9541041254997253,0.9465853571891785,0.9457506537437439,0.9429766535758972
aractingi/push_cube_offline_data,21,6,0.6228266954421997,0.619621217250824,0.6180347204208374,0.6101751327514648,0.6181803941726685,0.6056631803512573,0.6181259751319885,0.6048278212547302,0.6206260919570923,0.6040725111961365
nbaron99/so100_pick_and_place4,90,32,0.5894373059272766,0.5786677002906799,0.589484691619873,0.5788931250572205,0.5901548266410828,0.578805148601532,0.5907091498374939,0.5792277455329895,0.5908685326576233,0.5792277455329895
nbaron99/so100_pick_and_place4,67,30,0.626112163066864,0.6131219267845154,0.6149840950965881,0.6088463664054871,0.5982924699783325,0.5963701605796814,0.5792939066886902,0.579059362411499,0.5662053227424622,0.5619174838066101
nbaron99/so100_pick_and_place4,80,35,0.8568663001060486,0.8372779488563538,0.8683533668518066,0.8505018353462219,0.8768318295478821,0.8616458773612976,0.8813307285308838,0.8681144714355469,0.8896756172180176,0.8769751191139221
nbaron99/so100_pick_and_place4,27,9,0.7099506258964539,0.6773779988288879,0.7303633689880371,0.69923335313797,0.7299773097038269,0.7142717242240906,0.7228325009346008,0.7132149338722229,0.7088167667388916,0.705454409122467
nbaron99/so100_pick_and_place4,53,5,0.5787747502326965,0.5676319003105164,0.5801172852516174,0.5715652704238892,0.5805689692497253,0.5710353851318359,0.5797660946846008,0.5706170201301575,0.576320469379425,0.5705722570419312
nbaron99/so100_pick_and_place4,51,36,0.6395523548126221,0.6177303194999695,0.6393054127693176,0.6176464557647705,0.6391851902008057,0.6175625920295715,0.638808012008667,0.6174604296684265,0.6389316916465759,0.6173582673072815
FeiYjf/new_GtoR,202,35,0.5471251606941223,0.5442366600036621,0.5523998141288757,0.5497252345085144,0.5581328272819519,0.5560814738273621,0.5642878413200378,0.5622941851615906,0.5683947205543518,0.5674259066581726
FeiYjf/new_GtoR,160,19,0.9065897464752197,0.9178760647773743,0.8760337829589844,0.8907208442687988,0.8458678722381592,0.8600365519523621,0.817263662815094,0.8280429840087891,0.7945067882537842,0.8027494549751282
FeiYjf/new_GtoR,112,29,0.8164157867431641,0.8263563513755798,0.7966480255126953,0.8048105239868164,0.7891089916229248,0.7884834408760071,0.7875270843505859,0.7812511920928955,0.7857489585876465,0.7808983325958252
FeiYjf/new_GtoR,181,10,0.6520850658416748,0.6616707444190979,0.6300778388977051,0.644920289516449,0.6055455207824707,0.6189733147621155,0.5844638347625732,0.5940382480621338,0.566384494304657,0.5737983584403992
FeiYjf/new_GtoR,8,70,0.4153807461261749,0.4242725372314453,0.40755143761634827,0.4146229922771454,0.40255799889564514,0.40719711780548096,0.3991486132144928,0.4027024805545807,0.3943394422531128,0.398350328207016
FeiYjf/new_GtoR,30,66,0.4234226644039154,0.4179314076900482,0.4237629175186157,0.4172910451889038,0.424015611410141,0.4164840877056122,0.42708078026771545,0.4164527654647827,0.43232762813568115,0.4186660945415497
sihyun77/mond_1,9,70,0.42035040259361267,0.3978745639324188,0.42035531997680664,0.3978745639324188,0.42035531997680664,0.3978745639324188,0.42035531997680664,0.3978745639324188,0.42035531997680664,0.3978745639324188
sihyun77/mond_1,11,39,1.1688743829727173,1.17758309841156,1.1245073080062866,1.13191819190979,1.0891047716140747,1.0911744832992554,1.0645912885665894,1.0605361461639404,1.033164143562317,1.0361584424972534
sihyun77/mond_1,22,86,0.45572611689567566,0.45035454630851746,0.45572611689567566,0.4503692090511322,0.45572611689567566,0.4503692090511322,0.45572611689567566,0.4503692090511322,0.45572611689567566,0.4503692090511322
sihyun77/mond_1,26,14,1.5994254350662231,1.578494668006897,1.596544623374939,1.5863548517227173,1.593025803565979,1.5850515365600586,1.5875591039657593,1.5814803838729858,1.57599675655365,1.5746105909347534
sihyun77/mond_1,29,57,0.848498523235321,0.8618374466896057,0.8093077540397644,0.8217576146125793,0.7597064971923828,0.7813764214515686,0.7080513834953308,0.7313735485076904,0.6518844962120056,0.6764892935752869
sihyun77/mond_1,28,71,0.8365611433982849,0.8700796961784363,0.7776088714599609,0.8225979804992676,0.7066478729248047,0.7624524235725403,0.6344885230064392,0.6942587494850159,0.5646223425865173,0.6214681267738342
sixpigs1/so100_stack_cube_error,24,20,1.0171788930892944,0.9911184906959534,1.0258642435073853,0.99318528175354,1.0376185178756714,0.9945999979972839,1.0494989156723022,0.9962453842163086,1.0632373094558716,0.999973475933075
sixpigs1/so100_stack_cube_error,39,26,0.8340663909912109,0.8099498748779297,0.8525643944740295,0.8320361971855164,0.8718321919441223,0.8513168692588806,0.8859286308288574,0.8691675066947937,0.8894197940826416,0.8821970820426941
sixpigs1/so100_stack_cube_error,28,24,0.7714793086051941,0.7565655708312988,0.7998878359794617,0.7758943438529968,0.8310093879699707,0.8029614090919495,0.8595647811889648,0.8298516869544983,0.8859851956367493,0.8570249080657959
sixpigs1/so100_stack_cube_error,63,12,0.7755386233329773,0.757331132888794,0.7775036692619324,0.7434507012367249,0.7862809300422668,0.7425691485404968,0.7986003756523132,0.7462980151176453,0.8189114928245544,0.7544654011726379
sixpigs1/so100_stack_cube_error,38,16,0.7246930599212646,0.7082571983337402,0.73134446144104,0.6990525126457214,0.7402153015136719,0.6965415477752686,0.7539716362953186,0.6990029215812683,0.7589175701141357,0.703664243221283
sixpigs1/so100_stack_cube_error,33,35,0.8040246367454529,0.7986075282096863,0.8222611546516418,0.8062465786933899,0.8470155596733093,0.8262000679969788,0.8729711174964905,0.8508089184761047,0.8959575295448303,0.8742022514343262
pandaRQ/pick_med_1,74,5,1.101367473602295,1.1332006454467773,1.0568764209747314,1.091171383857727,1.0100904703140259,1.0476936101913452,0.961352527141571,1.0001134872436523,0.9128060340881348,0.9511699676513672
pandaRQ/pick_med_1,38,8,0.5995606184005737,0.6191583275794983,0.5652726292610168,0.5894066095352173,0.5353152751922607,0.556660532951355,0.5136045813560486,0.5302466154098511,0.49482035636901855,0.5087223649024963
pandaRQ/pick_med_1,32,30,0.8794390559196472,0.8658093810081482,0.8753266930580139,0.8653913140296936,0.8711997866630554,0.8649947643280029,0.8653885722160339,0.8633565902709961,0.8593683242797852,0.8614693284034729
pandaRQ/pick_med_1,56,69,0.5347446203231812,0.5295460820198059,0.568696916103363,0.5703150033950806,0.6134178638458252,0.6047802567481995,0.6609176397323608,0.6535795331001282,0.7031069397926331,0.6985273957252502
pandaRQ/pick_med_1,48,31,0.5708608031272888,0.5616018176078796,0.5656235814094543,0.5586538314819336,0.5619158148765564,0.5577496886253357,0.5595681071281433,0.5560852289199829,0.5515682101249695,0.5532971620559692
pandaRQ/pick_med_1,99,57,0.5671706795692444,0.5640630722045898,0.5939435958862305,0.5848073363304138,0.6278709173202515,0.6166183948516846,0.6857333779335022,0.6637305021286011,0.7449777722358704,0.7209150791168213
VoicAndrei/so100_banana_to_plate_only,103,14,1.063320517539978,1.053293228149414,1.0436173677444458,1.0375291109085083,1.0181032419204712,1.0187638998031616,0.9872555136680603,0.9953410029411316,0.9553630948066711,0.9693722128868103
VoicAndrei/so100_banana_to_plate_only,7,44,0.8937914371490479,0.8363766670227051,0.906764566898346,0.8458260893821716,0.9304342269897461,0.8619248270988464,0.9632649421691895,0.8897304534912109,1.006062626838684,0.9289000034332275
VoicAndrei/so100_banana_to_plate_only,36,36,0.657185435295105,0.5960676670074463,0.6538882851600647,0.5965360999107361,0.6417533755302429,0.5965743660926819,0.6315034627914429,0.5918994545936584,0.619053065776825,0.5848903059959412
